date,open
2016-01-04,28.27
2016-01-01,28.39
2015-12-31,28.39
2015-12-30,28.39
2015-12-29,28.03
2015-12-28,28.98
2015-12-25,29.19
2015-12-24,29.19
2015-12-23,29.19
2015-12-22,28.95
2015-12-21,29.4
2015-12-18,27.71
2015-12-17,29.0
2015-12-16,27.17
2015-12-15,25.05
2015-12-14,25.55
2015-12-11,25.61
2015-12-10,25.96
2015-12-09,26.3
2015-12-08,27.0
2015-12-07,26.34
2015-12-04,27.0
2015-12-03,27.55
2015-12-02,27.9
2015-12-01,27.37
2015-11-30,27.0
2015-11-27,26.91
2015-11-26,26.2
2015-11-25,26.54
2015-11-24,26.95
2015-11-23,26.7
2015-11-20,26.7
2015-11-19,26.3
2015-11-18,26.36
2015-11-17,26.0
2015-11-16,25.85
2015-11-13,25.5
2015-11-12,26.04
2015-11-11,25.98
2015-11-10,26.16
2015-11-09,26.06
2015-11-06,25.98
2015-11-05,25.8
2015-11-04,26.7
2015-11-03,26.53
2015-11-02,26.8
2015-10-30,26.8
2015-10-29,26.45
2015-10-28,26.5
2015-10-27,26.47
2015-10-26,26.2
2015-10-23,26.7
2015-10-22,26.76
2015-10-21,26.66
2015-10-20,26.57
2015-10-19,26.55
2015-10-16,26.2
2015-10-15,26.22
2015-10-14,25.4
2015-10-13,26.63
2015-10-12,26.58
2015-10-09,26.7
2015-10-08,26.48
2015-10-07,26.75
2015-10-06,26.5
2015-10-05,26.23
2015-10-02,25.07
2015-10-01,24.92
2015-09-30,25.02
2015-09-29,24.55
2015-09-28,24.56
2015-09-25,24.85
2015-09-24,24.7
2015-09-23,25.09
2015-09-22,25.55
2015-09-21,25.14
2015-09-18,25.52
2015-09-17,25.15
2015-09-16,25.42
2015-09-15,24.9
2015-09-14,24.28
2015-09-11,23.92
2015-09-10,23.4
2015-09-09,23.6
2015-09-08,23.64
2015-09-07,23.89
2015-09-04,24.1
2015-09-03,23.85
2015-09-02,23.51
2015-09-01,23.11
2015-08-31,23.33
2015-08-28,23.97
2015-08-27,23.69
2015-08-26,22.85
2015-08-25,22.75
2015-08-24,22.99
2015-08-21,23.36
2015-08-20,24.52
2015-08-19,25.0
2015-08-18,25.15
2015-08-17,25.0
2015-08-14,24.72
2015-08-13,24.6
2015-08-12,24.71
2015-08-11,25.22
